Company,alt_name,NewsID,Year,Circ,City,State
the anniston star,,1,1997,E,anniston,al
the birmingham news,,2,1997,C,birmingham,al
birmingham post-herald,,3,1997,D,birmingham,al
the decatur daily,,4,1997,E,decatur,al
the huntsville times,,5,1997,D,huntsville,al
montgomery advertiser,,6,1997,D,montgomery,al
the tuscaloosa news,,8,1997,E,tuscaloosa,al
anchorage daily news,,9,1997,D,anchorage,ak
the daily news,,11,1994,H,ketchikan,ak
the arizona republic,the arizona republic/phoenix gazette,12,1996,B,phoenix,az
the gazette,,13,1994,D,phoenix,az
the scottsdale progress,,14,1994,F,mesa,az
arizona daily star,,15,2002,D,tucson,az
tucson citizen,,16,1997,E,tucson,az
the sun,,17,2012,F,yuma,az
camden news,,18,2002,H,camden,ar
times record,,19,2002,E,fort smith,ar
paragould daily press,,22,1998,G,paragould,ar
texarkana gazette,,23,1998,E,texarkana,tx
the bakersfield californian,,25,1997,D,bakersfield,ca
chico enterprise-record,,26,2000,E,chico,ca
daily pilot,,27,1997,E,costa mesa,ca
the escondido north county times,,28,2003,D,escondido,ca
the fresno bee,,29,1997,C,fresno,ca
the glendale news-press,,31,2001,G,glendale,ca
press-telegram,,32,1997,C,long beach,ca
Los Angeles Times,,34,1997,A,los angeles,ca
the modesto bee,,35,1997,D,modesto,ca
the monterey county herald,,36,1997,E,monterey,ca
the oakland tribune,,37,1999,D,oakland,ca
the inland valley daily bulletin,,38,1996,D,ontario,ca
the press-enterprise,,42,2008,C,rivlou ureneckerside,ca
the sacramento bee,,45,1997,B,sacramento,ca
the san bernardino county sun,,46,1997,D,san bernardino,ca
the san diego union-tribune,,48,1997,B,san diego,ca
the examiner.san francisco,,49,2013,C,san francisco,ca
san francisco chronicle,,50,1997,B,san francisco,ca
san jose mercury news,,51,1997,B,san jose,ca
the san mateo county times,,53,1998,E,san mateo,ca
marin independent journal,,55,2008,E,novato,ca
santa barbara news-press,,56,1997,E,santa barbara,ca
the santa monica outlook,,57,1994,E,torrance,ca
the press democrat,,58,1994,D,santa rosa,ca
the union democrat,,59,1998,F,sonora,ca
daily breeze,,60,1998,D,torrance,ca
los angeles daily news,,61,1998,C,woodland hills,ca
ventura county star,,62,2009,D,camarillo,ca
register-pajaronian,,63,2005,G,watsonville,ca
daily camera,,65,1997,E,boulder,co
the denver post,,67,1995,B,denver,co
denver rocky mountain news,,68,2000,B,denver,co
daily times-call,,69,2003,F,longmont,co
the pueblo chieftain,,70,1998,D,pueblo,co
connecticut post,,73,1997,D,bridgeport,ct
the news times,,74,1996,E,danbury,ct
greenwich time,,75,1997,F,greenwich,ct
hartford courant,,76,1999,C,hartford,ct
record-journal,,77,1997,E,meriden,ct
the middletown press,,79,1999,F,middletown,ct
the herald,,80,1994,E,new britain,ct
new haven register,,81,1998,C,new haven,ct
the advocate and greenwich time,,83,1998,E,stamford,ct
the chronicle,,84,1994,F,willimantic,ct
delaware state news,,85,1998,F,dover,de
the news journal,,86,1998,C,new castle,de
the washington post,,88,1994,A,washington,dc
the daytona beach news-journal,,91,2002,C,daytona beach,fl
